Year,Year ending,Police Region,LocalGovernmentArea,Offence Count,"Rate per 100,000 population"
2021,March,1 North West Metro,Wyndham,"17,824","6,015.10"
2021,March,1 North West Metro,Yarra,"13,723","14,994.40"
2021,March,1 North West Metro,Total,"198,771","8,978.30"
2021,March,2 Eastern,Alpine,548,"4,162.20"
2021,March,2 Eastern,BassCoast,"3,065","7,535.30"
2021,March,2 Eastern,Baw Baw,"4,992","8,664.00"
2021,March,2 Eastern,Benalla,"1,423","9,857.30"
2021,March,2 Eastern,Boroondara,"7,771","4,576.90"
2021,March,2 Eastern,East Gippsland,"5,093","10,506.00"
2021,March,2 Eastern,Greater Shepparton,"9,366","13,667.80"
2021,March,2 Eastern,Indigo,571,"3,310.00"
2021,March,2 Eastern,Knox,"11,398","7,102.40"
2021,March,2 Eastern,Latrobe,"13,062","16,937.90"
2021,March,2 Eastern,Manningham,"4,742","3,768.80"
2021,March,2 Eastern,Mansfield,544,"5,375.00"
2021,March,2 Eastern,Maroondah,"8,010","6,900.70"
2021,March,2 Eastern,Mitchell,"5,373","10,808.30"
2021,March,2 Eastern,Moira,"2,325","7,656.30"
2021,March,2 Eastern,Monash,"12,753","6,611.40"
2021,March,2 Eastern,Murrindindi,925,"6,110.00"
2021,March,2 Eastern,South Gippsland,"1,879","6,183.40"
2021,March,2 Eastern,Strathbogie,585,"5,146.00"
2021,March,2 Eastern,Towong,207,"3,346.30"
2021,March,2 Eastern,Wangaratta,"3,134","10,534.10"
2021,March,2 Eastern,Wellington,"4,922","10,825.00"
2021,March,2 Eastern,Whitehorse,"9,100","5,319.20"
2021,March,2 Eastern,Wodonga,"3,356","7,767.30"
2021,March,2 Eastern,Yarra Ranges,"8,782","5,578.70"
2021,March,2 Eastern,Total,"123,926","7,278.90"
2021,March,3 Southern Metro,Bayside,"5,210","5,091.50"
2021,March,3 Southern Metro,Cardinia,"7,235","6,050.70"
2021,March,3 Southern Metro,Casey,"22,004","5,954.10"
2021,March,3 Southern Metro,Frankston,"14,154","10,050.80"
2021,March,3 Southern Metro,Glen Eira,"7,735","5,134.80"
2021,March,3 Southern Metro,Greater Dandenong,"19,081","11,918.20"
2021,March,3 Southern Metro,Kingston,"11,256","7,054.70"
2021,March,3 Southern Metro,Mornington Peninsula,"10,769","6,318.40"
2021,March,3 Southern Metro,Port Phillip,"13,408","12,962.40"
2021,March,3 Southern Metro,Stonnington,"11,637","10,958.70"
2021,March,3 Southern Metro,Total,"122,489","7,739.50"
2021,March,4 Western,Ararat,"1,602","13,545.30"
2021,March,4 Western,Ballarat,"9,641","8,494.00"
2021,March,4 Western,Buloke,446,"7,273.30"
2021,March,4 Western,Campaspe,"3,311","8,587.50"
2021,March,4 Western,Central Goldfields,"1,170","8,739.20"
2021,March,4 Western,Colac-Otway,"1,655","7,418.50"
2021,March,4 Western,Corangamite,915,"5,708.00"
2021,March,4 Western,Gannawarra,925,"8,714.10"
2021,March,4 Western,Glenelg,"1,688","8,415.60"
2021,March,4 Western,Golden Plains,580,"2,330.10"
2021,March,4 Western,Greater Bendigo,"10,977","9,051.60"
2021,March,4 Western,Greater Geelong,"21,836","8,059.60"
2021,March,4 Western,Hepburn,659,"3,997.60"
2021,March,4 Western,Hindmarsh,560,"9,901.00"
2021,March,4 Western,Horsham,"2,590","12,711.00"
2021,March,4 Western,Loddon,549,"7,127.10"
2021,March,4 Western,Macedon Ranges,"2,668","5,170.60"
2021,March,4 Western,Mildura,"6,207","10,896.00"
2021,March,4 Western,Moorabool,"2,634","6,948.00"
2021,March,4 Western,Mount Alexander,895,"4,449.60"
2021,March,4 Western,Moyne,644,"3,723.40"
2021,March,4 Western,Northern Grampians,"1,270","10,684.80"
2021,March,4 Western,Pyrenees,453,"5,945.70"
2021,March,4 Western,Queenscliffe,103,"3,182.90"
2021,March,4 Western,Southern Grampians,"1,125","6,821.50"
2021,March,4 Western,Surf Coast,"1,452","3,856.80"
2021,March,4 Western,Swan Hill,"2,633","12,314.70"
2021,March,4 Western,Warrnambool,"3,234","9,127.10"
2021,March,4 Western,West Wimmera,167,"4,198.10"
2021,March,4 Western,Yarriambiack,457,"7,020.00"
2021,March,4 Western,Total,"83,046","7,925.70"
2021,March,Justice Institutions and Immigration Facilities,JusticeInstitutionsandImmigrationFacilities,"3,076",
2021,March,Justice Institutions and Immigration Facilities,Total,"3,076",
2021,March,Unincorporated Vic,Unincorporated Vic,46,
2021,March,Unincorporated Vic,Total,46,
2020,March,1 North West Metro,Banyule,"9,966","7,648.90"
2020,March,1 North West Metro,Brimbank,"20,138","9,861.30"
2020,March,1 North West Metro,Darebin,"15,120","9,627.10"
2020,March,1 North West Metro,Hobsons Bay,"6,053","6,358.70"
2020,March,1 North West Metro,Hume,"21,589","8,860.90"
2020,March,1 North West Metro,Maribyrnong,"9,380","10,490.10"
2020,March,1 North West Metro,Melbourne,"36,363","21,316.10"
2020,March,1 North West Metro,Melton,"13,054","7,521.10"
2020,March,1 North West Metro,Merri-bek,"14,440","8,020.90"
2020,March,1 North West Metro,Moonee Valley,"8,699","6,861.20"
2020,March,1 North West Metro,Nillumbik,"2,291","3,561.80"
2020,March,1 North West Metro,Whittlesea,"16,670","7,215.20"
2020,March,1 North West Metro,Wyndham,"17,268","6,010.60"
2020,March,1 North West Metro,Yarra,"14,027","14,511.40"
2020,March,1 North West Metro,Total,"205,058","9,113.30"
2020,March,2 Eastern,Alpine,597,"4,573.30"
2020,March,2 Eastern,BassCoast,"2,467","6,333.80"
2020,March,2 Eastern,Baw Baw,"4,833","8,668.60"
2020,March,2 Eastern,Benalla,"1,249","8,684.50"
2020,March,2 Eastern,Boroondara,"8,322","4,678.60"
2020,March,2 Eastern,East Gippsland,"4,864","10,160.00"
2020,March,2 Eastern,Greater Shepparton,"8,715","12,727.50"
2020,March,2 Eastern,Indigo,563,"3,289.50"
2020,March,2 Eastern,Knox,"11,902","7,291.00"
2020,March,2 Eastern,Latrobe,"13,885","18,099.70"
2020,March,2 Eastern,Manningham,"4,967","3,880.90"
2020,March,2 Eastern,Mansfield,486,"4,963.20"
2020,March,2 Eastern,Maroondah,"7,990","6,754.30"
2020,March,2 Eastern,Mitchell,"4,652","9,676.90"
2020,March,2 Eastern,Moira,"2,477","8,175.50"
2020,March,2 Eastern,Monash,"11,995","5,973.90"
2020,March,2 Eastern,Murrindindi,779,"5,238.00"
2020,March,2 Eastern,South Gippsland,"1,758","5,807.30"
2020,March,2 Eastern,Strathbogie,643,"5,762.70"
2020,March,2 Eastern,Towong,230,"3,727.70"
2020,March,2 Eastern,Wangaratta,"2,459","8,330.80"
2020,March,2 Eastern,Wellington,"4,671","10,355.80"
2020,March,2 Eastern,Whitehorse,"9,331","5,277.90"
2020,March,2 Eastern,Wodonga,"3,837","8,993.10"
2020,March,2 Eastern,Yarra Ranges,"8,915","5,611.30"
2020,March,2 Eastern,Total,"122,587","7,110.20"
2020,March,3 Southern Metro,Bayside,"5,303","5,049.60"
2020,March,3 Southern Metro,Cardinia,"6,983","5,993.70"
2020,March,3 Southern Metro,Casey,"23,088","6,343.40"
2020,March,3 Southern Metro,Frankston,"14,943","10,509.10"
2020,March,3 Southern Metro,Glen Eira,"7,754","5,013.70"
2020,March,3 Southern Metro,Greater Dandenong,"19,060","11,506.30"
2020,March,3 Southern Metro,Kingston,"12,101","7,415.00"
2020,March,3 Southern Metro,Mornington Peninsula,"11,317","6,649.80"
2020,March,3 Southern Metro,Port Phillip,"12,965","11,725.20"
2020,March,3 Southern Metro,Stonnington,"12,088","10,734.40"
2020,March,3 Southern Metro,Total,"125,602","7,827.80"
2020,March,4 Western,Ararat,"1,250","10,488.30"
2020,March,4 Western,Ballarat,"11,564","10,357.80"
2020,March,4 Western,Buloke,329,"5,344.40"
2020,March,4 Western,Campaspe,"4,054","10,563.10"
2020,March,4 Western,Central Goldfields,"1,357","10,199.90"
2020,March,4 Western,Colac-Otway,"1,659","7,448.10"
2020,March,4 Western,Corangamite,693,"4,302.20"
2020,March,4 Western,Gannawarra,822,"7,773.00"
2020,March,4 Western,Glenelg,"1,806","9,005.20"
2020,March,4 Western,Golden Plains,640,"2,626.60"
2020,March,4 Western,Greater Bendigo,"11,166","9,308.30"
2020,March,4 Western,Greater Geelong,"22,319","8,389.50"
2020,March,4 Western,Hepburn,885,"5,416.50"
2020,March,4 Western,Hindmarsh,349,"6,157.40"
2020,March,4 Western,Horsham,"2,036","9,987.70"
2020,March,4 Western,Loddon,485,"6,334.10"
2020,March,4 Western,Macedon Ranges,"2,393","4,701.90"
2020,March,4 Western,Mildura,"7,447","12,988.60"
2020,March,4 Western,Moorabool,"2,210","5,982.00"
2020,March,4 Western,Mount Alexander,"1,209","6,063.50"
2020,March,4 Western,Moyne,671,"3,926.00"
2020,March,4 Western,Northern Grampians,"1,052","8,911.50"
2020,March,4 Western,Pyrenees,564,"7,476.10"
2020,March,4 Western,Queenscliffe,120,"3,877.20"
2020,March,4 Western,Southern Grampians,"1,114","6,749.10"
2020,March,4 Western,Surf Coast,"1,303","3,636.90"
2020,March,4 Western,Swan Hill,"2,423","11,270.30"
2020,March,4 Western,Warrnambool,"3,293","9,297.50"
2020,March,4 Western,West Wimmera,182,"4,556.80"
2020,March,4 Western,Yarriambiack,513,"7,724.70"
2020,March,4 Western,Total,"85,908","8,297.40"
2020,March,Justice Institutions and Immigration Facilities,JusticeInstitutionsandImmigrationFacilities,"2,730",
2020,March,Justice Institutions and Immigration Facilities,Total,"2,730",
2020,March,Unincorporated Vic,Unincorporated Vic,156,
2020,March,Unincorporated Vic,Total,156,
2019,March,1 North West Metro,Banyule,"9,208","7,050.20"
2019,March,1 North West Metro,Brimbank,"19,194","9,282.70"
2019,March,1 North West Metro,Darebin,"14,848","9,439.40"
2019,March,1 North West Metro,Hobsons Bay,"6,315","6,590.60"
2019,March,1 North West Metro,Hume,"21,174","8,996.00"
2019,March,1 North West Metro,Maribyrnong,"8,188","9,152.70"
2019,March,1 North West Metro,Melbourne,"35,624","21,085.30"
2019,March,1 North West Metro,Melton,"11,061","6,682.00"
2019,March,1 North West Metro,Merri-bek,"14,597","8,139.90"
2019,March,1 North West Metro,Moonee Valley,"8,090","6,400.00"
2019,March,1 North West Metro,Nillumbik,"2,088","3,239.00"
2019,March,1 North West Metro,Whittlesea,"16,046","7,097.70"
2019,March,1 North West Metro,Wyndham,"14,958","5,475.10"
2019,March,1 North West Metro,Yarra,"13,452","13,933.50"
2019,March,1 North West Metro,Total,"194,843","8,793.20"
2019,March,2 Eastern,Alpine,573,"4,440.50"
2019,March,2 Eastern,BassCoast,"2,385","6,370.20"
2019,March,2 Eastern,Baw Baw,"4,498","8,322.40"
2019,March,2 Eastern,Benalla,"1,201","8,435.80"
2019,March,2 Eastern,Boroondara,"7,233","4,025.90"
2019,March,2 Eastern,East Gippsland,"4,563","9,613.60"
2019,March,2 Eastern,Greater Shepparton,"8,937","13,194.50"
2019,March,2 Eastern,Indigo,506,"2,998.30"
2019,March,2 Eastern,Knox,"11,036","6,757.80"
2019,March,2 Eastern,Latrobe,"14,614","19,198.40"
2019,March,2 Eastern,Manningham,"4,546","3,583.10"
2019,March,2 Eastern,Mansfield,441,"4,683.00"
2019,March,2 Eastern,Maroondah,"8,315","7,048.70"
2019,March,2 Eastern,Mitchell,"4,446","9,587.50"
2019,March,2 Eastern,Moira,"2,188","7,269.30"
2019,March,2 Eastern,Monash,"10,366","5,189.20"
