STOP_NAME,longitude,latitude
36-Bayview Tce/Maribyrnong Rd (Moonee Ponds),144.91826300371474,-37.77201285339405
37-Union Rd/Maribyrnong Rd (Moonee Ponds),144.91632800552688,-37.77179883327897
38-Ferguson St/Maribyrnong Rd (Ascot Vale),144.91276292922555,-37.77140184300994
39-Bowen St/Maribyrnong Rd (Moonee Ponds),144.90918597338356,-37.771013852665234
40-Epsom Rd/Maribyrnong Rd (Ascot Vale),144.90567813794362,-37.77061785225427
37-Maribyrnong Rd/Union Rd (Ascot Vale),144.91607600570052,-37.77185679324891
36-St Leonards Rd/Union Rd (Ascot Vale),144.9157858443212,-37.77368982295149
35-Munro St/Union Rd (Ascot Vale),144.91540100225185,-37.77608985260465
34-Burrowes St/Union Rd (Ascot Vale),144.9149549597385,-37.77861381229644
32-Sandown Rd/Epsom Rd (Ascot Vale),144.91668079714154,-37.78265481143103
31-Racing Victoria/400 Epsom Rd (Flemington),144.91821007765338,-37.7844117907457
30-Flemington Racecourse/Epsom Rd (Flemington),144.91979192181563,-37.78589985031665
29-Flemington Racecourse/Racecourse Rd (Flemington),144.92189505015335,-37.78743282164557
28-Smithfield Rd/Racecourse Rd (Flemington),144.925351057595,-37.78772784386893
26-Newmarket Plaza/Racecourse Rd (Kensington),144.92839594372114,-37.7880608458194
25-Wellington St/Racecourse Rd (Flemington),144.93046594756225,-37.78834083713898
24-Collett St/Racecourse Rd (Kensington),144.93352811292175,-37.788493839070036
23-Stubbs St/Racecourse Rd (Flemington),144.9354861551743,-37.788735850003576
22-Boundary Rd/Racecourse Rd (North Melbourne),144.9401510344462,-37.78919584003127
19-Abbotsford St Interchange/Abbotsford St (North Melbourne),144.9471688681046,-37.79371582006193
18-Erskine St/Abbotsford St (North Melbourne),144.9468088660265,-37.79523286006
17-Canning St/Abbotsford St (North Melbourne),144.9465410240067,-37.79670580005889
16-Haines St/Abbotsford St (North Melbourne),144.9463250222932,-37.79795482005842
15-Arden St/Abbotsford St (North Melbourne),144.94584081822825,-37.80065887003603
14-Abbotsford St/Queensberry St (North Melbourne),144.94580805446108,-37.80264984996716
23-Royal Park/Royal Park (Parkville),144.94930007124654,-37.79140084007189
24-Elliott Ave/Royal Park (Parkville),144.9496251560858,-37.78786483008412
25-State Netball Hockey Centre/Royal Park (Parkville),144.9486758392337,-37.78436985991815
26-Melbourne Zoo/Royal Park (Parkville),144.94928783671855,-37.78236186939342
27-Royal Park Station/Royal Park (Parkville),144.95093087209497,-37.78085886898832
28-Park St/Royal Park (Parkville),144.94949590998345,-37.776903817960275
29-Brunswick Rd/Royal Park (Parkville),144.94875394794062,-37.77580086760591
30-Union Square Shopping Centre/Grantham St (Brunswick West),144.94932094435345,-37.772548806791946
31-Dawson St/Grantham St (Brunswick West),144.94974682212208,-37.77028485624767
32-Foden St/Dawson St (Brunswick),144.94736181791285,-37.76990982582003
33-Daly St/Dawson St (Brunswick),144.94443105255024,-37.76957979531091
34-Smith St/Melville Rd (Brunswick West),144.94310084500918,-37.76760087445546
35-Victoria St/Melville Rd (Brunswick West),144.94368583757273,-37.76489880357815
36-Hope St/Melville Rd (Brunswick West),144.94415994937492,-37.762148852649354
37-Albion St/Melville Rd (Brunswick West),144.94477697844326,-37.758726871463445
38-Jacobs Reserve/Melville Rd (Brunswick West),144.94516001172573,-37.756750830762726
39-McGregor Ave/Melville Rd (Brunswick West),144.9455560059392,-37.75476579014293
40-Moreland Rd/Melville Rd (Brunswick West),144.94566076908754,-37.7534157902404
41-Woodlands Ave/Melville Rd (Pascoe Vale South),144.94635989799306,-37.74949881045688
42-Reynard St/Melville Rd (Pascoe Vale South),144.94433994664044,-37.74659784092566
43-Princes Tce/Melville Rd (Pascoe Vale South),144.94477303222436,-37.74410880108164
44-Brearley Pde/Melville Rd (Pascoe Vale South),144.94513879722004,-37.74195285118706
51-Balwyn Rd/Doncaster Rd (Balwyn North),145.08463697934462,-37.79463482471109
50-Dight Ave/Doncaster Rd (Balwyn North),145.08094193747857,-37.794358884078676
49-Buchanan Ave/Doncaster Rd (Balwyn North),145.07772785563014,-37.79392787352917
48-Osburn Ave/Doncaster Rd (Balwyn North),145.07457281357173,-37.793398852972544
47-North Balwyn Shopping Centre/Doncaster Rd (Balwyn North),145.07072981076604,-37.79271386225772
46-Wattle Ave/Doncaster Rd (Balwyn North),145.06740700697873,-37.792992861787766
26-Ferrars St/Park St (South Melbourne),144.9564111226405,-37.83661882093923
43-Kew High School/High St (Kew East),145.06135503788755,-37.79468684128469
42-Woodlands Ave/High St (Kew East),145.05767799017235,-37.79631089129743
41-Station St/High St (Kew East),145.05393290427997,-37.79795285140814
40-Harp Village/High St (Kew East),145.0521980656239,-37.79870786136564
39-Harp Rd/High St (Kew East),145.05027890683667,-37.79955089134725
38-Victoria Park/High St (Kew East),145.0461777910897,-37.80130283138367
37-Kew Cemetery/High St (Kew),145.04265807377928,-37.80256886142633
36-Gladstone St/High St (Kew),145.0400199947647,-37.8035258315132
35-Charles St/High St (Kew),145.03598296021485,-37.80499886176884
34-Union St/High St (Kew),145.03417180204312,-37.805626881800556
33-Kew Shopping Centre/High St (Kew),145.0313170039579,-37.806660891773085
25-Brook St/Church St (Hawthorn),145.02098787231776,-37.81574287905095
24-Hill St/Church St (Hawthorn),145.01875876006503,-37.81795786696017
65-Victoria St/Church St (Richmond),145.00062989981168,-37.8107128647801
64-Elizabeth St/Church St (Richmond),145.0001709003058,-37.81257883480642
63-Tweedie Pl/Church St (Richmond),144.99988578033302,-37.814304854808086
62-Highett St/Church St (Richmond),144.99957978104413,-37.81594888464871
61-Bridge Rd/Church St (Richmond),144.99908478349187,-37.818715844143895
60-Abinger St/Church St (Richmond),144.99881586500584,-37.82028886384156
59-St Ignatius Church/Church St (Richmond),144.99854694657077,-37.82182480353941
58-Gipps St/Church St (Richmond),144.9981689489761,-37.824044833085715
57-Swan St/Church St (Richmond),144.99782695100313,-37.825768872730094
