streetAddress,price,bedrooms,bathrooms,parking,addressLocality,addressRegion,postalCode,property_type,nearby_schools,nbn_type,age_distribution,geo
350 Victoria Street,60.0,0.0,0.0,1.0,North Melbourne,VIC,3051,Any,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Haileybury College - City Girls', 'Eltham College - King Street Campus', 'Haileybury College - City Boys', 'Simonds Catholic College', 'Haileybury Girls College - City Campus', 'North Melbourne Primary School']",,20 - 39,
67A Garnet Street,595.0,2.0,1.0,1.0,Brunswick,VIC,3056,Townhouse/Villa,"['Brunswick North Primary School', 'Antonine College - Cedar Campus', ""St Bernard's School"", 'Antonine College', 'Australian International Academy of Education', ""St Joseph's School"", ""St Fidelis' School"", ""St Margaret Mary's School"", 'Islamic College of Sport', 'Brunswick Secondary College', ""St Monica's Primary School"", ""St Paul's School""]",FTTC,balanced age,
2/18 Lewis Street,410.0,2.0,1.0,1.0,Frankston,VIC,3199,Apartment,"[""St John's School"", 'Woodleigh School - Minimbah Campus', 'Frankston High School', 'Frankston Special Developmental School', ""St Anne's School"", 'David Scott School', 'John Paul College', 'SEDA College (Victoria) - Frankston Park Function Centre', 'Foundation Learning Centre - Peninsula Campus', 'St Francis Xavier School', 'Naranga Special School', 'Southern Autistic School', 'Nepean Special School', ""St Augustine's School"", 'David Scott School - High Street Campus', 'Frankston Primary School']",FTTC,balanced age,
4707/80 A'beckett Street,685.0,2.0,1.0,1.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus']",,20 - 39,
478 Highbury Road,680.0,3.0,1.0,2.0,Mount Waverley,VIC,3149,House,"['Burwood East Primary School', 'Avila College', 'Holy Saviour Parish School', 'Wesley College - Glen Waverley Campus', 'Holy Family School', ""St Scholastica's School"", 'St Luke the Evangelist School', 'Burwood East Special Developmental School', 'Vermont South Special School', 'Bulleen Heights School', 'Mount Waverley Secondary College', ""St Christopher's School"", 'Emmaus College', 'Huntingtower School', 'Bulleen Heights School-Manningham Road Campus', 'SEDA College (Victoria) - Basketball Burwood']",HFC,balanced age,
18/219-227 Auburn Rd,575.0,2.0,1.0,1.0,Hawthorn,VIC,3122,Apartment,"['Canterbury Girls Secondary College', 'Preshil, The Margaret Lyttle Memorial School', 'Auburn High School', ""Methodist Ladies' College"", 'Bulleen Heights School', 'Erasmus Primary School', ""St Joseph's School"", 'Glenferrie Primary School', 'SEDA College (Victoria)', 'Carey Baptist Grammar School', 'Bialik College', 'Rossbourne School', 'Scotch College', 'Bulleen Heights School-Manningham Road Campus', 'Swinburne Senior Secondary College', 'SEDA College (Victoria) - Hawthorn Talented Player Program (TPP)']",,balanced age,
703/639 Lonsdale Street,500.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",,20 - 39,"{'latitude': -37.81525920000001, 'longitude': 144.9534241}"
14/198 Alma Rd,470.0,2.0,1.0,1.0,St Kilda East,VIC,3183,Apartment,"['The King David School - Junior School', 'Beth Rivkah Ladies College', 'Windsor Primary School', 'Melbourne Grammar School - Grimwade Campus', 'Our Lady of Lourdes School', ""Christian Brothers' College - Balaclava Campus"", 'Yeshivah College', 'Port Phillip Specialist School', 'Southern Autistic School', 'The King David School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', ""St Mary's College Melbourne - Edmund Rice Campus""]",HFC,20 - 39,"{'latitude': -37.8632247, 'longitude': 145.0071674}"
408/118 Dudley Street,860.0,2.0,1.0,1.0,West Melbourne,VIC,3003,Apartment,"['River Nile School', ""St Joseph's Flexible Learning Centre"", 'Hester Hornbrook Academy - City Campus', 'University High School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'Eltham College - Lonsdale Street Campus', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'North Melbourne Primary School']",FTTB,20 - 39,
11 MacLean Street,800.0,3.0,1.0,2.0,Williamstown,VIC,3016,House,"['Australian Islamic Centre College', 'Bayside P-12 College', 'Westbourne Grammar School - Williamstown Campus', 'Williamstown High School-Bayview Campus', 'St Leo the Great Primary School', 'Williamstown Primary School', 'Sacred Heart School', ""St Margaret Mary's School"", 'Rosamond Special School', ""St Mary's School"", ""St Augustine's School"", 'Westbourne Grammar School', 'Williamstown High School', 'Newmark Primary']",FTTN,balanced age,"{'latitude': -37.858063, 'longitude': 144.8991714}"
4/6 Florence Road,500.0,2.0,1.0,1.0,Surrey Hills,VIC,3127,Apartment,"['Our Lady of Perpetual Succour School', ""St Paul's College"", 'Surrey Hills Primary School', 'Box Hill Senior Secondary College', 'Siena College Ltd', 'Our Holy Redeemer School', ""Strathcona Baptist Girls' Grammar - Primary Campus"", 'Bulleen Heights School', 'Camberwell High School', ""Strathcona Baptist Girls' Grammar"", 'Kingswood College', ""St Dominic's School"", ""Fintona Girls' School"", 'Bulleen Heights School-Manningham Road Campus']",HFC,balanced age,"{'latitude': -37.8272142, 'longitude': 145.1020549}"
9/37 Stephen Street,750.0,3.0,2.0,2.0,Yarraville,VIC,3013,Townhouse/Villa,"[""St John's School"", 'Footscray City College', 'Footscray City Primary School', 'Corpus Christi School', 'SEDA College (Victoria) - Melbourne City Talented Player Program - Kensington', 'Holy Rosary School', 'Yarraville Special Developmental School', ""St Margaret Mary's School"", 'Sacred Heart School', 'Rosamond Special School', ""St Augustine's School"", ""St Monica's School"", 'Footscray High School', 'Furlong Park School For Deaf Children', 'SEDA College (Victoria) - Cricket Australia - Footscray', 'MacKillop Specialist School - Flexible Learning Centre Maidstone']",FTTP,balanced age,
123 Hope Street,645.0,3.0,1.0,1.0,Brunswick,VIC,3056,House,"['Brunswick North Primary School', ""St Bernard's School"", 'Antonine College', ""St Fidelis' School"", ""St Joseph's School"", ""St Margaret Mary's School"", 'Islamic College of Sport', 'SEDA College (Victoria) - Cricket Australia -  Carlton', 'Brunswick Secondary College', ""St Monica's Primary School"", 'Our Lady Help of Christians School', 'SEDA College (Victoria) - Melbourne Sports Centres Parkville']",FTTP,balanced age,"{'latitude': -37.7633763, 'longitude': 144.9534508}"
2910/241 City Road,800.0,2.0,2.0,1.0,Southbank,VIC,3006,Apartment,"['Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Youth2Industry College', 'Melbourne Grammar School', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Southern Autistic School', 'Galilee Regional Catholic Primary School', 'Melbourne Grammar School - Wadhurst Campus', 'Collingwood College']",FTTB,20 - 39,
13 Beleura Avenue,700.0,3.0,2.0,2.0,Vermont,VIC,3133,House,"[""St John's School"", ""St Luke's School"", ""St Timothy's School"", 'Vermont Primary School', ""St James' School"", 'Holy Saviour Parish School', 'Vermont Secondary College', 'Vermont South Special School', 'Aquinas College', ""St Mary's College for the Deaf - Ringwood Campus"", 'Emmaus College', 'SEDA College (Victoria) - Jubilee Park', 'The Knox School']",HFC,balanced age,"{'latitude': -37.8435228, 'longitude': 145.2034605}"
21 Yorkminster Avenue,700.0,4.0,2.0,2.0,Wantirna,VIC,3152,House,"[""St Luke's School"", ""St Mary's College for the Deaf - Wantirna South Campus"", ""St James' School"", 'Our Lady of Lourdes School', 'Wantirna College', 'Vermont South Special School', 'Aquinas College', ""St Mary's College for the Deaf - Ringwood Campus"", 'Regency Park Primary School', 'SEDA College (Victoria) - Jubilee Park', 'St Andrews Christian College', 'Holy Trinity School', 'The Knox School']",HFC,balanced age,"{'latitude': -37.8516102, 'longitude': 145.2330082}"
1105/60 Kavanagh Street,730.0,2.0,1.0,0.0,Southbank,VIC,3006,Apartment,"['Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', ""Stott's Colleges"", 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Youth2Industry College', 'Melbourne Grammar School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Galilee Regional Catholic Primary School', 'Melbourne Grammar School - Wadhurst Campus', 'Collingwood College']",FTTP,20 - 39,
82B Giddings Street,410.0,2.0,1.0,1.0,North Geelong,VIC,3215,Apartment,"['North Geelong Secondary College', ""St Joseph's College Geelong - Westcourt Campus"", 'Holy Spirit Parish School', 'Holy Family School', 'SEDA College (Victoria) - BVNV Geelong', 'Clonard College', 'SEDA College (Victoria) - Multi Geelong', 'Kardinia International College', ""St Patrick's School"", 'St Thomas Aquinas School', 'Bell Park North Primary School', 'Nelson Park School', 'Indie School Geelong', 'Matthew Flinders Girls Secondary College']",FTTN,balanced age,
1305/1 Freshwater Place,1.0,1.0,1.0,1.0,Southbank,VIC,3006,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', ""Stott's Colleges"", 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Collingwood College']",FTTB,balanced age,
508/570 Swanston Street,480.0,2.0,1.0,0.0,Carlton,VIC,3053,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Carlton Gardens Primary School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Academy of Mary Immaculate', 'Haileybury College - City Girls', 'Simonds Catholic College']",FTTB,20 - 39,"{'latitude': -37.8032933, 'longitude': 144.9637566}"
4/10 Derby Street,430.0,2.0,1.0,1.0,Fawkner,VIC,3060,Apartment,"['Mercy College', 'Ilim College - Glenroy Campus', 'Australian International Academy of Education - Senior Campus', 'Darul Ulum College of Victoria', 'SEDA College (Victoria) - J.E Moore Park Campus', 'Australian International Academy of Education', 'Fawkner Primary School', 'John Fawkner Secondary College', ""St Raphael's School"", ""St Matthew's School"", ""St Mark's School"", ""St Paul's School""]",FTTC,balanced age,
107 Casey Street,560.0,3.0,1.0,1.0,East Bendigo,VIC,3550,House,"[""St Kilian's School"", 'Kennington Primary School', 'Weeroona College Bendigo', 'SEDA College (Victoria) - Multi Bendigo', ""St Joseph's School"", ""St Therese's School"", 'Catherine McAuley College', 'Bendigo Senior Secondary College', ""St Peter's School"", 'Doxa School Bendigo', 'Girton Grammar School - Junior School', 'Creek Street Christian College', 'Girton Grammar School']",FTTN,balanced age,
2508/8 Downie Street,580.0,2.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'University High School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
6/25a Arthur Street,480.0,2.0,1.0,1.0,Coburg,VIC,3058,Apartment,"['Mercy College', 'SEDA College (Victoria) - J.E Moore Park Campus', 'Australian International Academy of Education - Senior Campus', 'Coburg High School', 'Croxton Special School', 'Darul Ulum College of Victoria', 'SEDA College (Victoria) - AFL- Preston', 'Australian International Academy of Education', 'Reservoir West Primary School', ""St Raphael's School"", ""St Mark's School"", ""St Paul's School"", ""St Gabriel's School""]",FTTC,balanced age,
17 Fitzroy Street,650.0,2.0,1.0,1.0,Footscray,VIC,3011,House,"[""St John's School"", 'Footscray City College', 'Gilmore College For Girls', 'Corpus Christi School', 'SEDA College (Victoria) - Melbourne City Talented Player Program - Kensington', 'Holy Rosary School', 'Rosamond Special School', ""St Monica's School"", ""St Augustine's School"", 'Footscray High School', 'Furlong Park School For Deaf Children', 'SEDA College (Victoria) - Netball Ascot Vale', ""St Mary's School"", 'Footscray Primary School', 'SEDA College (Victoria) - Cricket Australia - Footscray', 'MacKillop Specialist School - Flexible Learning Centre Maidstone']",FTTP,20 - 39,
905/18-20 Bank Place,540.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', ""Stott's Colleges"", 'University High School', 'Holmes Grammar School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",,20 - 39,"{'latitude': -37.8164269, 'longitude': 144.9604517}"
1/228 Albert St,370.0,2.0,1.0,1.0,Sebastopol,VIC,3356,House,"['Emmaus Catholic Primary School', 'Damascus College', ""St James' School"", 'Ballarat Clarendon College', 'Sebastopol Primary School', ""St Patrick's School"", ""St Aloysius' School"", 'Mount Clear College', ""St Patrick's College"", 'Sovereign Hill School', 'Berry Street School - Ballarat Campus', 'Phoenix P-12 Community College', 'Lumen Christi School', 'Ballarat Christian College']",FTTN,balanced age,
39 Canterbury St,3800.0,4.0,4.0,3.0,Richmond,VIC,3121,House,"[""Strathcona Baptist Girls' Grammar - Hawthorn Campus"", 'Richmond High School', 'SEDA College (Victoria) - FFV Burnley', 'Melbourne Girls College', 'Richmond Primary School', 'Ignatius Learning Centre', ""St Kevin's College - Glendalough"", ""St Kevin's College - Waterford"", 'Melbourne Indigenous Transition School - MITS Year 8 Campus', 'Richmond High School-Gleadell Street Campus', 'SEDA College (Victoria) - Netball Burnley', 'SEDA College (Victoria) - FFV Burnley 2', 'Melbourne Indigenous Transition School', 'Trinity Catholic School']",FTTP,balanced age,
38A Alexandra Street,995.0,3.0,1.0,2.0,St Kilda East,VIC,3183,House,"['Beth Rivkah Ladies College', 'Ripponlea Primary School', 'Melbourne Grammar School - Grimwade Campus', 'Mount Scopus Memorial College - Gandel Besen House Campus', 'The King David School', ""Christian Brothers' College - Balaclava Campus"", 'Cheder Levi Yitzchok Inc', 'Yeshivah College', 'Port Phillip Specialist School', 'Southern Autistic School', ""St Mary's School - Campus 2"", ""St Mary's School"", ""St Mary's College Melbourne - Edmund Rice Campus"", 'Elwood College']",HFC,balanced age,
2 Fear Street,745.0,2.0,2.0,1.0,Richmond,VIC,3121,Townhouse/Villa,"['Richmond High School', 'Melbourne Girls College', 'Ignatius Learning Centre', 'Kamaruka', 'Melbourne Grammar School', 'Kamaruka - Primary Campus', 'Melbourne Girls Grammar', 'Melbourne Girls Grammar - Morris Hall Campus', ""St Kevin's College - Waterford"", 'Melbourne Indigenous Transition School - MITS Year 8 Campus', 'Richmond High School-Gleadell Street Campus', 'Richmond West Primary School', 'Melbourne Indigenous Transition School', 'Trinity Catholic School']",FTTC,balanced age,"{'latitude': -37.8214633, 'longitude': 144.9912543}"
302/35 Victoria St,488.0,1.0,1.0,0.0,Footscray,VIC,3011,Apartment,"[""St John's School"", 'Footscray City College', 'Gilmore College For Girls', 'Corpus Christi School', 'SEDA College (Victoria) - Melbourne City Talented Player Program - Kensington', 'Hester Hornbrook Academy - Braybrook Campus', 'Christ the King Primary School', 'Rosamond Special School', ""St Monica's School"", ""St Augustine's School"", 'Footscray High School', 'Furlong Park School For Deaf Children', 'Caroline Chisholm Catholic College - Christ The King Campus', 'Footscray Primary School', 'SEDA College (Victoria) - Cricket Australia - Footscray', 'MacKillop Specialist School - Flexible Learning Centre Maidstone']",FTTP,balanced age,"{'latitude': -37.8014618, 'longitude': 144.892919}"
25 Mighty Road,600.0,4.0,2.0,2.0,Sunbury,VIC,3429,House,"[""St Anne's School"", ""St Mary's College for the Deaf - Sunbury Campus"", 'Our Lady of Mount Carmel School', 'Goonawarra Primary School', 'Sunbury College', 'Salesian College Sunbury']",FTTP,balanced age,
1706/200 Spencer Street,1.0,1.0,1.0,1.0,Melbourne,VIC,3000,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
2/32-34 Kooyong Road,600.0,3.0,1.0,1.0,Armadale,VIC,3143,Apartment,"[""Lauriston Girls' School"", 'The King David School - Junior School', 'De La Salle College - Kinnoull Campus', 'Our Lady of Lourdes School', 'Auburn High School', ""Lauriston Girls' School - Blairholme Campus"", 'The King David School - The Rebecca Magid Centre', 'Port Phillip Specialist School', ""St Joseph's School"", 'Southern Autistic School', 'The King David School', 'Loreto Mandeville Hall', 'De La Salle College', 'Armadale Primary School']",,balanced age,
1406/601 Little Lonsdale Street,520.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTP,20 - 39,"{'latitude': -37.8137438, 'longitude': 144.9536855}"
8 Knox Dr,630.0,4.0,2.0,2.0,Barwon Heads,VIC,3227,House,"['Our Lady Star of the Sea School', 'Bellarine Secondary College', 'Barwon Heads Primary School']",FTTC,balanced age,
603/5 Sovereign Point Court,575.0,2.0,2.0,1.0,Doncaster,VIC,3108,Apartment,"['St Gregory the Great School', 'SEDA College (Victoria) - Cross Keys Reserve Campus', 'Marcellin College', 'Berengarra School', 'Bulleen Heights School', ""St Bridget's School"", 'Doncaster Primary School', 'Our Lady of Sion College', 'St Clement of Rome School', ""St Kevin's School"", ""Ss Peter & Paul's School"", 'Bulleen Heights School-Manningham Road Campus', 'Doncaster Secondary College', 'St Charles Borromeo School']",FTTB,balanced age,
2/21-23 Barkly Terrace,630.0,2.0,1.0,1.0,Mitcham,VIC,3132,Townhouse/Villa,"[""St John's School"", 'Nunawading Christian College - Secondary', 'Antonio Park Primary School', 'Whitefriars College Inc', ""St Timothy's School"", 'Indie School Wodonga - Indie School Ringwood Campus', ""St James' School"", 'Our Lady of Perpetual Help School', ""St Philip's School"", 'SEDA College (Victoria) - Jubilee Park', 'Mullauna Secondary College', 'Nunawading Christian College - Primary']",,balanced age,"{'latitude': -37.816902, 'longitude': 145.1962213}"
33 Aberdeen Road,975.0,3.0,1.0,0.0,Prahran,VIC,3181,House,"[""St Mary's College Melbourne - Presentation Campus"", 'The King David School - Junior School', 'Melbourne Girls College', 'Windsor Primary School', 'Our Lady of Lourdes School', 'Hester Hornbrook Academy - Prahran Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', 'Southern Autistic School', 'The King David School', ""St Mary's School - Campus 2"", ""St Mary's School"", 'Prahran High School', 'Loreto Mandeville Hall', ""St Mary's College Melbourne - Edmund Rice Campus""]",HFC,balanced age,
1204/280 Spencer Street,680.0,2.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
603/11 Rose Lane,500.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",,20 - 39,"{'latitude': -37.8154878, 'longitude': 144.9542238}"
910 Warrenheip Street,360.0,3.0,1.0,2.0,Buninyong,VIC,3357,House,"['Emmaus Catholic Primary School', 'Damascus College', 'Ballarat Steiner School', 'Mount Clear College', 'Buninyong Primary School']",FTTP,balanced age,"{'latitude': -37.6544633, 'longitude': 143.8822338}"
69 Allanfield Crescent,850.0,5.0,2.0,2.0,Boronia,VIC,3155,House,"[""St Luke's School"", ""St Mary's College for the Deaf - Wantirna South Campus"", 'Our Lady of Lourdes School', 'St Jude the Apostle School', 'Heritage College Knox - Main Campus', 'Vermont South Special School', 'Mountain District Community College', 'Fairhills High School', 'Knox Central Primary School', 'St Andrews Christian College', ""St Joseph's Primary School"", 'Holy Trinity School', 'The Knox School']",HFC,balanced age,"{'latitude': -37.862495, 'longitude': 145.2560985}"
3 Cortland Close,600.0,5.0,2.0,2.0,Kangaroo Flat,VIC,3555,House,"['Crusoe 7-10 Secondary College', 'Bendigo Senior Secondary College', ""St Monica's School"", 'Big Hill Primary School', 'OneSchool Global Vic - Bendigo Centre']",FTTP,balanced age,
67 Bromby Street,1195.0,2.0,2.0,1.0,South Yarra,VIC,3141,Apartment,"['SEDA College (Victoria) - MSAC Function Room', 'Hester Hornbrook Academy - South Melbourne', 'Christ Church Grammar School', 'Youth2Industry College', 'Melbourne Grammar School', 'South Yarra Primary School', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Melbourne Girls Grammar', 'Melbourne Girls Grammar - Morris Hall Campus', 'Port Phillip Specialist School', 'Richmond High School-Gleadell Street Campus', 'Prahran High School', 'Melbourne Grammar School - Wadhurst Campus']",FTTC,20 - 39,
3502/380 Little Lonsdale Street,700.0,2.0,2.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', 'Hester Hornbrook Academy - City Campus', 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",FTTB,20 - 39,
2A Latrobe Street,500.0,3.0,2.0,1.0,Cranbourne,VIC,3977,House,"['Cranbourne Secondary College', 'St Thomas the Apostle Catholic Primary School', 'Lighthouse Christian College Cranbourne', ""St Peter's College - Clyde North Campus"", 'Casey Grammar School', ""St Therese's School"", 'Cranbourne Park Primary School', 'Southern Autistic School', 'Nepean Special School', ""St Peter's College"", ""St Agatha's School""]",HFC,balanced age,
61 Bell Street,750.0,2.0,1.0,0.0,Fitzroy,VIC,3065,House,"['Ozford College - Ozford College Campus', 'Fitzroy Primary School', ""Stott's Colleges"", ""Simonds Catholic College - St Brigid's VCE Campus"", 'Holmes Grammar School', 'Fitzroy Community School', 'Ozford College', ""St Joseph's School"", 'Academy of Mary Immaculate', 'Lynall Hall Community School-The Island Campus', 'Sacred Heart School', 'Collingwood College', 'Hester Hornbrook Academy - North Fitzroy Campus']",FTTC,balanced age,
30 Bank Street,680.0,2.0,1.0,1.0,Ascot Vale,VIC,3032,House,"['Lowther Hall Anglican Grammar School', 'Mount Alexander 7-12 College', 'SEDA College (Victoria) - Netball Ascot Vale', ""St Brendan's School"", ""St Joseph's School"", ""St Columba's College"", 'Ascot Vale Primary School', 'Furlong Park School For Deaf Children', ""St Mary's School"", ""St Monica's Primary School"", 'SEDA College (Victoria) - Melbourne Sports Centres Parkville', 'Penleigh & Essendon Grammar School - Moonee Ponds Campus', 'Penleigh & Essendon Grammar School - Essendon Campus']",FTTC,balanced age,
4/13 Campbell St,600.0,3.0,2.0,2.0,Glen Waverley,VIC,3150,Townhouse/Villa,"[""St Timothy's School"", 'Avila College', 'Holy Saviour Parish School', 'Highvale Primary School', 'Wesley College - Glen Waverley Campus', 'Holy Family School', 'Highvale Secondary College', 'Vermont South Special School', ""St Leonard's School"", ""St Christopher's School"", 'Emmaus College', 'Huntingtower School', 'SEDA College (Victoria) - Basketball Burwood']",HFC,balanced age,
2/23 Eldridge Street,450.0,2.0,1.0,1.0,Footscray,VIC,3011,Apartment,"[""St John's School"", 'Footscray City College', 'Christ the King Primary School', ""St Margaret's Primary School"", 'Footscray North Primary School', 'Rosamond Special School', ""St Monica's School"", ""St Mary's School"", 'Caroline Chisholm Catholic College - Christ The King Campus', 'Furlong Park School For Deaf Children', 'SEDA College (Victoria) - Netball Ascot Vale', ""St Augustine's School"", 'SEDA College (Victoria) - Cricket Australia - Footscray', 'MacKillop Specialist School - Flexible Learning Centre Maidstone', 'Maribyrnong Secondary College']",HFC,20 - 39,"{'latitude': -37.7889301, 'longitude': 144.8927578}"
8 James Drive,500.0,4.0,2.0,2.0,Delacombe,VIC,3356,House,"['Loreto College - The Little Flower Campus', 'Mount Rowan Secondary College-LinkUp - Ballarat Learning Exchange Campus', 'Ballarat Clarendon College', ""St Patrick's School"", 'Delacombe Primary School', 'Loreto College', 'St Thomas More School', ""St Aloysius' School"", ""St Patrick's College"", 'Berry Street School - Ballarat Campus', 'Phoenix P-12 Community College', 'Lumen Christi School', 'Ballarat Christian College', 'Ballarat High School']",FTTN,balanced age,
4/7-11 Martin Street,695.0,2.0,2.0,0.0,South Melbourne,VIC,3205,Apartment,"['SEDA College (Victoria) - MSAC Function Room', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'Youth2Industry College', 'Melbourne Grammar School', 'South Melbourne Park Primary School', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Southern Autistic School', 'Galilee Regional Catholic Primary School', 'Albert Park College', 'Melbourne Grammar School - Wadhurst Campus']",,balanced age,"{'latitude': -37.8369867, 'longitude': 144.9583861}"
2A Riverside Avenue,630.0,3.0,2.0,1.0,Avondale Heights,VIC,3034,Townhouse/Villa,"['Caroline Chisholm Catholic College', 'Braybrook College', 'SEDA College (Victoria) - Basketball Braybrook', 'Sunshine Christian School', 'Avondale Primary School', 'Christ the King Primary School', ""St Margaret's Primary School"", ""St Bernadette's School"", 'St Martin de Porres School', 'Rosamond Special School', 'Caroline Chisholm Catholic College - Christ The King Campus', 'Furlong Park School For Deaf Children', 'Caroline Chisholm Catholic College - Sacred Heart Campus', 'MacKillop Specialist School - Flexible Learning Centre Maidstone']",HFC,balanced age,
18 Silverwood Drive,610.0,4.0,2.0,4.0,Warragul,VIC,3820,House,"['Community College Gippsland Ltd | ECG Secondary College - Community College Gippsland Ltd', ""St Paul's Anglican Grammar School"", 'Warragul Regional College', 'Warragul Primary School', ""St Joseph's School"", 'St Angela of the Cross Primary School', 'Marist-Sion College', 'Chairo Christian School - Drouin East Campus', ""St Ita's School"", ""St Paul's Anglican Grammar School - Sutton Street Campus"", 'Chairo Christian School']",,balanced age,
