streetAddress,price,bedrooms,bathrooms,parking,addressLocality,addressRegion,postalCode,property_type,nearby_schools,nbn_type,age_distribution,geo
69 Esplanade East,1600.0,3.0,2.0,1.0,Port Melbourne,VIC,3207,Townhouse/Villa,"['SEDA College (Victoria) - MSAC Function Room', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'Youth2Industry College', 'Melbourne Grammar School', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Port Phillip Specialist School', 'Port Melbourne Primary School', 'Eltham College - King Street Campus', 'Southern Autistic School', 'Galilee Regional Catholic Primary School', 'Albert Park College', 'Melbourne Grammar School - Wadhurst Campus']",FTTN,balanced age,"{'latitude': -37.8430107, 'longitude': 144.9426361}"
2402/33 Rose Lane,720.0,2.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['River Nile School', 'Hester Hornbrook Academy - City Campus', ""St Joseph's Flexible Learning Centre"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",,20 - 39,"{'latitude': -37.8150001, 'longitude': 144.9538708}"
2/1 Somers Street,300.0,1.0,1.0,1.0,Noble Park,VIC,3174,Apartment,"['Killester College', 'Hoa Nghiem Primary School', 'Minaret College', ""St Joseph's School"", ""St Anthony's School"", 'Nazareth College', ""St John Vianney's School"", 'Southern Autistic School', 'Fitra Community School', 'Keysborough Secondary College', 'Resurrection School', 'Heatherhill Primary School', ""St Elizabeth's School""]",HFC,balanced age,
1/16 Marungi St,345.0,2.0,1.0,1.0,Shepparton,VIC,3630,Apartment,"['Greater Shepparton Secondary College - Wanganui Park Campus', 'Indie School Shepparton', 'All Saints Anglican School', 'Shepparton Christian College', 'Greater Shepparton Secondary College', ""St Brendan's School"", 'Notre Dame College', 'SEDA College (Victoria) - Multi Sports - Shepparton', 'Berry Street School - Shepparton Campus', 'Shepparton ACE Secondary College', ""St Mel's School"", ""St Mary's School"", 'Gowrie Street Primary School Shepparton']",FTTP,balanced age,
1111/55 Merchant Street,640.0,2.0,1.0,1.0,Docklands,VIC,3008,Apartment,"['Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'University High School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Galilee Regional Catholic Primary School', 'Simonds Catholic College', 'Eltham College - King Street Campus', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Haileybury Girls College - City Campus', 'Docklands Primary School']",,20 - 39,
322 Raglan Street South,395.0,2.0,1.0,1.0,Ballarat Central,VIC,3350,House,"[""St Alipius' Parish School"", 'Ballarat Primary School (Dana Street)', 'Mount Rowan Secondary College-LinkUp - Ballarat Learning Exchange Campus', 'Ballarat Clarendon College', ""St Patrick's School"", 'Loreto College', 'Ballarat Clarendon College - Second Campus', ""St Columba's School"", ""St Aloysius' School"", ""St Patrick's College"", 'Berry Street School - Ballarat Campus', 'Phoenix P-12 Community College', 'SEDA College (Victoria) - Multi Ballarat', 'Mount Clear College-G Place Campus']",,balanced age,
6/180 Riversdale Road,470.0,2.0,1.0,1.0,Hawthorn,VIC,3122,Apartment,"[""St Kevin's College"", 'Auburn High School', 'Alia College', 'Bulleen Heights School', 'Erasmus Primary School', ""St Joseph's School"", 'Glenferrie Primary School', 'SEDA College (Victoria)', 'Rossbourne School', 'Bialik College', 'Scotch College', 'SEDA College (Victoria) - Netball Burnley', 'Bulleen Heights School-Manningham Road Campus', 'Swinburne Senior Secondary College', 'SEDA College (Victoria) - Hawthorn Talented Player Program (TPP)']",FTTC,balanced age,"{'latitude': -37.8297508, 'longitude': 145.0412679}"
27 Morgan Street,650.0,4.0,2.0,1.0,Sale,VIC,3850,House,"['Gippsland Grammar - Second Campus', 'Sale College', ""St Mary's Primary School"", 'Catholic College Sale', 'Catholic College Sale - Cathedral Hall Campus', 'Catholic College Sale - Sale Sion Campus', ""St Thomas' School"", 'Gippsland Grammar', 'Guthridge Primary School']",FTTP,balanced age,
109/150 Clarendon Street,1595.0,2.0,2.0,2.0,East Melbourne,VIC,3002,Apartment,"['Ozford College - Ozford College Campus', ""Stott's Colleges"", 'Ignatius Learning Centre', 'Holmes Grammar School', 'Ozford College', ""St Kevin's College - Waterford"", ""St Joseph's School"", 'Academy of Mary Immaculate', 'Lynall Hall Community School-The Island Campus', 'Sacred Heart School', 'Melbourne Indigenous Transition School', 'Richmond West Primary School', 'Collingwood College']",,balanced age,
15A Elizabeth Street,2650.0,5.0,2.0,6.0,Brighton East,VIC,3187,House,"['Brighton Secondary College', ""St James' School"", 'Divrei Emineh', 'Firbank Grammar School', 'Melbourne Montessori School - Brighton East Campus', 'Firbank Grammar School - Second Campus', 'Mount Scopus Memorial College - Fink Karp Ivany Campus', 'Wesley College - Elsternwick Campus', 'Leibler Yavneh College', 'Southern Autistic School', ""St Finbar's School"", 'Japanese School of Melbourne', 'Gardenvale Primary School']",HFC,balanced age,
