Suburb,Month,Year,Property Type,Count,Total_Price,Median
Armadale,Dec,2017,Other properties,31.0,-32469.0,-1047.3870967741937
Armadale,Dec,2018,flat,670.0,306165.0,456.96268656716416
Armadale,Dec,2018,house,123.0,117690.0,956.829268292683
Armadale,Dec,2018,Other properties,33.0,-27375.0,-829.5454545454545
Armadale,Dec,2019,flat,633.0,301570.0,476.4139020537125
Armadale,Dec,2019,house,111.0,94172.0,848.3963963963964
Armadale,Dec,2019,Other properties,32.0,-19382.0,-605.6875
Armadale,Dec,2020,flat,580.0,268110.0,462.2586206896552
Armadale,Dec,2020,house,113.0,91840.0,812.7433628318585
Armadale,Dec,2020,Other properties,37.0,1400.0,37.83783783783784
Armadale,Dec,2021,flat,680.0,281085.0,413.3602941176471
Armadale,Dec,2021,house,108.0,93129.0,862.3055555555555
Armadale,Dec,2021,Other properties,29.0,-31074.0,-1071.5172413793102
Armadale,Dec,2022,flat,704.0,315528.0,448.1931818181818
Armadale,Dec,2022,house,118.0,105216.0,891.6610169491526
Armadale,Dec,2022,Other properties,18.0,-34344.0,-1908.0
Armadale,Jun,2000,flat,572.0,108225.0,189.20454545454547
Armadale,Jun,2000,house,127.0,46151.0,363.3937007874016
Armadale,Jun,2000,Other properties,38.0,-6976.0,-183.57894736842104
Armadale,Jun,2001,flat,533.0,108015.0,202.6547842401501
Armadale,Jun,2001,house,136.0,55150.0,405.5147058823529
Armadale,Jun,2001,Other properties,35.0,-8285.0,-236.71428571428572
Armadale,Jun,2002,flat,604.0,131520.0,217.74834437086093
